#,Peptide,ACP Score,ACP,AFP Score,AFP,AMP Score,AMP,AVP Score,AVP,ACVP Score,ACVP,Hemolysis Threshold,Hemolysis Conc (ug/ml),Hemolysis /Y/N
21,"seq_epochs_()_num_21",1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.91,Yes,20,50.0,No
22,"seq_epochs_()_num_22",0.92,Yes,0.98,Yes,1.0,Yes,1.0,Yes,1.0,Yes,20,50.0,No
23,"seq_epochs_()_num_23",0.06,No,0.13,No,0.4,No,0.74,Yes,0.33,No,20,50.0,Yes
24,"seq_epochs_()_num_24",0.76,Yes,0.73,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,Yes
25,"seq_epochs_()_num_25",0.87,Yes,0.59,Yes,0.91,Yes,0.99,Yes,0.98,Yes,20,50.0,Yes
26,"seq_epochs_()_num_26",0.07,No,0.02,No,0.28,No,0.79,Yes,0.92,Yes,20,50.0,No
27,"seq_epochs_()_num_27",0.05,No,0.0,No,0.19,No,0.69,Yes,0.98,Yes,20,50.0,No
28,"seq_epochs_()_num_28",0.82,Yes,0.32,No,0.9,Yes,1.0,Yes,0.8,Yes,20,50.0,No
29,"seq_epochs_()_num_29",1.0,Yes,0.35,No,0.66,Yes,0.98,Yes,0.6,Yes,20,50.0,No
30,"seq_epochs_()_num_30",0.91,Yes,0.74,Yes,1.0,Yes,0.91,Yes,0.94,Yes,20,50.0,No
31,"seq_epochs_()_num_31",1.0,Yes,0.43,No,1.0,Yes,0.88,Yes,0.14,No,20,50.0,Yes
32,"seq_epochs_()_num_32",0.59,Yes,0.03,No,0.51,Yes,0.76,Yes,0.97,Yes,20,50.0,No
33,"seq_epochs_()_num_33",0.93,Yes,0.09,No,0.59,Yes,0.97,Yes,0.93,Yes,20,50.0,No
34,"seq_epochs_()_num_34",0.17,No,0.15,No,0.98,Yes,1.0,Yes,0.99,Yes,20,50.0,No
35,"seq_epochs_()_num_35",0.41,No,0.02,No,0.67,Yes,0.79,Yes,0.98,Yes,20,50.0,Yes
36,"seq_epochs_()_num_36",1.0,Yes,0.53,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
37,"seq_epochs_()_num_37",0.98,Yes,0.56,Yes,1.0,Yes,1.0,Yes,0.97,Yes,20,50.0,Yes
38,"seq_epochs_()_num_38",1.0,Yes,0.92,Yes,1.0,Yes,0.98,Yes,0.87,Yes,20,50.0,Yes
39,"seq_epochs_()_num_39",0.11,No,0.05,No,0.27,No,0.77,Yes,0.97,Yes,20,50.0,No
40,"seq_epochs_()_num_40",0.09,No,0.02,No,0.62,Yes,0.77,Yes,0.94,Yes,20,50.0,No
41,"seq_epochs_()_num_41",0.98,Yes,0.96,Yes,1.0,Yes,0.98,Yes,0.22,No,20,50.0,No
42,"seq_epochs_()_num_42",1.0,Yes,0.5,Yes,1.0,Yes,1.0,Yes,0.96,Yes,20,50.0,Yes
43,"seq_epochs_()_num_43",0.73,Yes,0.01,No,0.31,No,0.98,Yes,0.31,No,20,50.0,Yes
44,"seq_epochs_()_num_44",0.94,Yes,0.53,Yes,0.99,Yes,0.95,Yes,0.87,Yes,20,50.0,No
45,"seq_epochs_()_num_45",0.46,No,0.01,No,0.06,No,1.0,Yes,0.99,Yes,20,50.0,No
46,"seq_epochs_()_num_46",0.22,No,0.03,No,0.27,No,0.72,Yes,0.92,Yes,20,50.0,No
47,"seq_epochs_()_num_47",0.85,Yes,0.11,No,0.79,Yes,0.98,Yes,0.98,Yes,20,50.0,No
48,"seq_epochs_()_num_48",0.98,Yes,0.72,Yes,0.97,Yes,0.98,Yes,0.41,No,20,50.0,No
49,"seq_epochs_()_num_49",0.8,Yes,0.32,No,0.3,No,0.92,Yes,0.58,Yes,20,50.0,No
50,"seq_epochs_()_num_50",0.96,Yes,1.0,Yes,1.0,Yes,0.97,Yes,0.99,Yes,20,50.0,No
51,"seq_epochs_()_num_51",0.99,Yes,0.75,Yes,0.99,Yes,0.99,Yes,0.9,Yes,20,50.0,Yes
52,"seq_epochs_()_num_52",0.08,No,0.0,No,0.08,No,0.7,Yes,0.9,Yes,20,50.0,No
53,"seq_epochs_()_num_53",1.0,Yes,0.78,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,No
54,"seq_epochs_()_num_54",0.84,Yes,0.18,No,0.96,Yes,0.96,Yes,0.97,Yes,20,50.0,No
55,"seq_epochs_()_num_55",0.99,Yes,0.98,Yes,1.0,Yes,1.0,Yes,0.95,Yes,20,50.0,Yes
56,"seq_epochs_()_num_56",0.6,Yes,0.53,Yes,0.96,Yes,0.99,Yes,0.94,Yes,20,50.0,No
57,"seq_epochs_()_num_57",0.6,Yes,0.1,No,0.91,Yes,1.0,Yes,0.88,Yes,20,50.0,Yes
58,"seq_epochs_()_num_58",0.99,Yes,0.18,No,1.0,Yes,0.43,No,0.1,No,20,50.0,No
59,"seq_epochs_()_num_59",0.99,Yes,0.73,Yes,0.99,Yes,0.99,Yes,0.35,No,20,50.0,No
60,"seq_epochs_()_num_60",1.0,Yes,0.37,No,1.0,Yes,1.0,Yes,0.88,Yes,20,50.0,No
61,"seq_epochs_()_num_61",1.0,Yes,0.57,Yes,1.0,Yes,1.0,Yes,0.75,Yes,20,50.0,Yes
62,"seq_epochs_()_num_62",0.74,Yes,0.34,No,0.93,Yes,0.96,Yes,0.99,Yes,20,50.0,No
63,"seq_epochs_()_num_63",0.13,No,0.18,No,0.43,No,0.97,Yes,0.91,Yes,20,50.0,Yes
64,"seq_epochs_()_num_64",0.97,Yes,0.36,No,0.81,Yes,1.0,Yes,0.9,Yes,20,50.0,No
65,"seq_epochs_()_num_65",0.42,No,0.02,No,0.52,Yes,0.66,Yes,0.86,Yes,20,50.0,No
66,"seq_epochs_()_num_66",0.9,Yes,0.32,No,0.73,Yes,0.92,Yes,0.86,Yes,20,50.0,No
67,"seq_epochs_()_num_67",1.0,Yes,0.59,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
68,"seq_epochs_()_num_69",0.07,No,0.01,No,0.03,No,0.03,No,0.92,Yes,20,50.0,No
69,"seq_epochs_()_num_70",0.14,No,0.31,No,0.91,Yes,0.85,Yes,0.98,Yes,20,50.0,Yes
70,"seq_epochs_()_num_71",0.1,No,0.01,No,0.12,No,0.35,No,0.37,No,20,50.0,No
71,"seq_epochs_()_num_72",0.13,No,0.4,No,0.8,Yes,0.15,No,0.91,Yes,20,50.0,No
72,"seq_epochs_()_num_73",1.0,Yes,0.52,Yes,1.0,Yes,1.0,Yes,1.0,Yes,20,50.0,Yes
73,"seq_epochs_()_num_74",0.96,Yes,0.51,Yes,0.98,Yes,0.83,Yes,0.96,Yes,20,50.0,No
74,"seq_epochs_()_num_75",1.0,Yes,0.47,No,1.0,Yes,0.97,Yes,0.49,No,20,50.0,Yes
75,"seq_epochs_()_num_76",1.0,Yes,0.5,Yes,0.96,Yes,0.98,Yes,0.98,Yes,20,50.0,Yes
76,"seq_epochs_()_num_77",1.0,Yes,0.99,Yes,1.0,Yes,0.93,Yes,0.92,Yes,20,50.0,Yes
77,"seq_epochs_()_num_78",0.98,Yes,0.6,Yes,0.99,Yes,0.97,Yes,0.17,No,20,50.0,No
78,"seq_epochs_()_num_79",0.72,Yes,0.03,No,0.43,No,0.86,Yes,0.99,Yes,20,50.0,Yes
79,"seq_epochs_()_num_80",0.98,Yes,0.97,Yes,1.0,Yes,0.95,Yes,0.98,Yes,20,50.0,No
80,"seq_epochs_()_num_81",0.18,No,0.32,No,0.87,Yes,0.99,Yes,0.97,Yes,20,50.0,No
81,"seq_epochs_()_num_82",0.74,Yes,0.15,No,0.93,Yes,1.0,Yes,0.99,Yes,20,50.0,No
82,"seq_epochs_()_num_83",1.0,Yes,0.76,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,Yes
83,"seq_epochs_()_num_84",0.99,Yes,0.36,No,0.99,Yes,0.21,No,0.12,No,20,50.0,No
84,"seq_epochs_()_num_85",0.97,Yes,0.35,No,0.97,Yes,0.97,Yes,0.88,Yes,20,50.0,No
85,"seq_epochs_()_num_86",0.66,Yes,0.04,No,0.26,No,0.98,Yes,0.97,Yes,20,50.0,No
86,"seq_epochs_()_num_87",0.76,Yes,0.41,No,0.38,No,0.09,No,0.86,Yes,20,50.0,No
87,"seq_epochs_()_num_88",0.38,No,0.37,No,0.94,Yes,0.82,Yes,0.53,Yes,20,50.0,Yes
88,"seq_epochs_()_num_89",0.05,No,0.05,No,0.39,No,0.31,No,0.96,Yes,20,50.0,No
89,"seq_epochs_()_num_90",0.34,No,0.18,No,0.2,No,0.96,Yes,0.98,Yes,20,50.0,Yes
90,"seq_epochs_()_num_91",0.08,No,0.11,No,0.85,Yes,0.86,Yes,0.97,Yes,20,50.0,Yes
91,"seq_epochs_()_num_92",0.99,Yes,0.35,No,0.91,Yes,0.96,Yes,0.47,No,20,50.0,No
92,"seq_epochs_()_num_93",1.0,Yes,0.98,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
93,"seq_epochs_()_num_95",1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.85,Yes,20,50.0,Yes
94,"seq_epochs_()_num_97",0.19,No,0.07,No,0.72,Yes,0.25,No,0.86,Yes,20,50.0,Yes
95,"seq_epochs_()_num_98",1.0,Yes,0.52,Yes,1.0,Yes,0.39,No,0.21,No,20,50.0,No
96,"seq_epochs_()_num_99",0.6,Yes,0.1,No,0.28,No,0.85,Yes,0.87,Yes,20,50.0,No
97,"seq_epochs_()_num_100",0.03,No,0.0,No,0.12,No,0.98,Yes,0.96,Yes,20,50.0,No
98,"seq_epochs_()_num_101",0.53,Yes,0.12,No,0.79,Yes,0.83,Yes,0.98,Yes,20,50.0,No
99,"seq_epochs_()_num_102",0.22,No,0.01,No,0.03,No,0.72,Yes,0.89,Yes,20,50.0,No
100,"seq_epochs_()_num_103",0.11,No,0.05,No,0.11,No,0.04,No,0.98,Yes,20,50.0,No
101,"seq_epochs_()_num_104",1.0,Yes,0.54,Yes,0.95,Yes,0.97,Yes,0.89,Yes,20,50.0,Yes
102,"seq_epochs_()_num_105",0.27,No,0.49,No,0.38,No,1.0,Yes,0.55,Yes,20,50.0,No
103,"seq_epochs_()_num_106",0.43,No,0.26,No,0.61,Yes,0.42,No,0.97,Yes,20,50.0,Yes
104,"seq_epochs_()_num_107",1.0,Yes,0.69,Yes,1.0,Yes,1.0,Yes,0.78,Yes,20,50.0,No
105,"seq_epochs_()_num_108",0.92,Yes,0.33,No,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,No
106,"seq_epochs_()_num_109",0.99,Yes,0.7,Yes,0.94,Yes,0.9,Yes,0.98,Yes,20,50.0,Yes
107,"seq_epochs_()_num_110",1.0,Yes,0.54,Yes,1.0,Yes,0.81,Yes,0.95,Yes,20,50.0,No
108,"seq_epochs_()_num_111",0.96,Yes,0.71,Yes,0.99,Yes,1.0,Yes,0.25,No,20,50.0,No
109,"seq_epochs_()_num_112",0.95,Yes,0.4,No,0.5,No,0.89,Yes,0.9,Yes,20,50.0,Yes
110,"seq_epochs_()_num_113",0.29,No,0.04,No,0.16,No,0.95,Yes,0.97,Yes,20,50.0,No
111,"seq_epochs_()_num_114",0.98,Yes,0.36,No,0.68,Yes,0.62,Yes,1.0,Yes,20,50.0,Yes
112,"seq_epochs_()_num_115",1.0,Yes,0.81,Yes,0.98,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
113,"seq_epochs_()_num_116",0.88,Yes,0.23,No,0.05,No,0.17,No,0.02,No,20,50.0,No
114,"seq_epochs_()_num_117",0.98,Yes,0.75,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
115,"seq_epochs_()_num_118",1.0,Yes,0.98,Yes,1.0,Yes,1.0,Yes,0.97,Yes,20,50.0,Yes
116,"seq_epochs_()_num_119",1.0,Yes,0.71,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
117,"seq_epochs_()_num_120",0.07,No,0.04,No,0.26,No,0.49,No,0.82,Yes,20,50.0,No
118,"seq_epochs_()_num_121",0.97,Yes,0.08,No,0.9,Yes,1.0,Yes,0.8,Yes,20,50.0,No
119,"seq_epochs_()_num_122",0.76,Yes,0.68,Yes,0.92,Yes,0.68,Yes,0.89,Yes,20,50.0,No
120,"seq_epochs_()_num_123",0.57,Yes,0.02,No,0.31,No,0.52,Yes,0.88,Yes,20,50.0,Yes
121,"seq_epochs_()_num_124",0.75,Yes,0.02,No,0.22,No,0.83,Yes,0.95,Yes,20,50.0,No
122,"seq_epochs_()_num_125",0.05,No,0.02,No,0.11,No,0.53,Yes,0.98,Yes,20,50.0,No
123,"seq_epochs_()_num_126",1.0,Yes,0.22,No,0.74,Yes,0.99,Yes,1.0,Yes,20,50.0,No
124,"seq_epochs_()_num_127",0.13,No,0.21,No,0.87,Yes,0.99,Yes,0.95,Yes,20,50.0,No
125,"seq_epochs_()_num_128",0.08,No,0.0,No,0.01,No,0.23,No,0.95,Yes,20,50.0,No
126,"seq_epochs_()_num_129",0.97,Yes,0.52,Yes,0.48,No,0.26,No,0.22,No,20,50.0,No
127,"seq_epochs_()_num_130",0.87,Yes,0.5,No,0.99,Yes,0.94,Yes,0.88,Yes,20,50.0,Yes
128,"seq_epochs_()_num_131",1.0,Yes,0.42,No,0.48,No,0.56,Yes,0.59,Yes,20,50.0,No
129,"seq_epochs_()_num_132",0.36,No,0.06,No,0.14,No,0.29,No,0.24,No,20,50.0,No
130,"seq_epochs_()_num_133",0.74,Yes,0.48,No,0.88,Yes,0.89,Yes,0.68,Yes,20,50.0,No
131,"seq_epochs_()_num_134",0.99,Yes,0.36,No,1.0,Yes,0.97,Yes,0.98,Yes,20,50.0,No
132,"seq_epochs_()_num_135",0.99,Yes,0.31,No,0.96,Yes,0.99,Yes,0.92,Yes,20,50.0,Yes
133,"seq_epochs_()_num_136",0.15,No,0.03,No,0.35,No,0.4,No,0.9,Yes,20,50.0,No
134,"seq_epochs_()_num_137",0.99,Yes,0.99,Yes,0.99,Yes,1.0,Yes,0.46,No,20,50.0,No
135,"seq_epochs_()_num_138",1.0,Yes,0.49,No,0.98,Yes,0.99,Yes,0.82,Yes,20,50.0,Yes
136,"seq_epochs_()_num_139",1.0,Yes,0.53,Yes,0.99,Yes,0.91,Yes,0.71,Yes,20,50.0,Yes
137,"seq_epochs_()_num_140",0.34,No,0.21,No,0.21,No,0.18,No,0.89,Yes,20,50.0,No
138,"seq_epochs_()_num_141",0.98,Yes,0.71,Yes,1.0,Yes,0.99,Yes,0.48,No,20,50.0,No
139,"seq_epochs_()_num_142",0.6,Yes,0.06,No,0.93,Yes,1.0,Yes,0.74,Yes,20,50.0,No
140,"seq_epochs_()_num_143",0.46,No,0.43,No,0.14,No,0.93,Yes,0.97,Yes,20,50.0,No
141,"seq_epochs_()_num_144",1.0,Yes,0.57,Yes,1.0,Yes,1.0,Yes,0.9,Yes,20,50.0,Yes
142,"seq_epochs_()_num_145",1.0,Yes,0.99,Yes,1.0,Yes,1.0,Yes,0.84,Yes,20,50.0,Yes
143,"seq_epochs_()_num_146",0.78,Yes,0.02,No,0.37,No,0.81,Yes,0.31,No,20,50.0,Yes
144,"seq_epochs_()_num_147",0.97,Yes,0.73,Yes,1.0,Yes,0.98,Yes,0.8,Yes,20,50.0,No
145,"seq_epochs_()_num_148",0.92,Yes,0.35,No,0.98,Yes,0.99,Yes,0.02,No,20,50.0,No
146,"seq_epochs_()_num_149",1.0,Yes,0.98,Yes,1.0,Yes,0.99,Yes,0.95,Yes,20,50.0,Yes
147,"seq_epochs_()_num_150",0.95,Yes,0.21,No,0.69,Yes,0.96,Yes,0.88,Yes,20,50.0,No
148,"seq_epochs_()_num_151",0.99,Yes,0.91,Yes,1.0,Yes,1.0,Yes,0.36,No,20,50.0,No
149,"seq_epochs_()_num_152",1.0,Yes,0.52,Yes,0.99,Yes,0.99,Yes,0.57,Yes,20,50.0,No
150,"seq_epochs_()_num_153",0.81,Yes,0.69,Yes,1.0,Yes,0.86,Yes,0.89,Yes,20,50.0,No
151,"seq_epochs_()_num_154",1.0,Yes,0.34,No,1.0,Yes,1.0,Yes,1.0,Yes,20,50.0,No
152,"seq_epochs_()_num_155",0.69,Yes,0.37,No,0.98,Yes,0.99,Yes,0.87,Yes,20,50.0,No
153,"seq_epochs_()_num_156",0.97,Yes,0.47,No,0.99,Yes,0.63,Yes,0.86,Yes,20,50.0,No
154,"seq_epochs_()_num_157",0.34,No,0.05,No,0.22,No,0.63,Yes,0.98,Yes,20,50.0,No
155,"seq_epochs_()_num_158",0.99,Yes,0.67,Yes,0.97,Yes,1.0,Yes,0.51,Yes,20,50.0,No
156,"seq_epochs_()_num_159",0.99,Yes,0.99,Yes,0.99,Yes,1.0,Yes,0.95,Yes,20,50.0,No
157,"seq_epochs_()_num_160",0.79,Yes,0.54,Yes,0.95,Yes,0.98,Yes,0.99,Yes,20,50.0,No
158,"seq_epochs_()_num_161",0.02,No,0.06,No,0.15,No,0.03,No,0.8,Yes,20,50.0,No
159,"seq_epochs_()_num_162",1.0,Yes,0.5,No,1.0,Yes,1.0,Yes,0.66,Yes,20,50.0,No
160,"seq_epochs_()_num_163",1.0,Yes,0.51,Yes,0.97,Yes,1.0,Yes,0.48,No,20,50.0,No
161,"seq_epochs_()_num_164",0.84,Yes,0.36,No,0.99,Yes,0.97,Yes,0.54,Yes,20,50.0,No
162,"seq_epochs_()_num_165",0.89,Yes,0.5,Yes,0.97,Yes,0.35,No,0.24,No,20,50.0,No
163,"seq_epochs_()_num_167",1.0,Yes,0.51,Yes,0.77,Yes,0.96,Yes,0.74,Yes,20,50.0,No
164,"seq_epochs_()_num_168",0.72,Yes,0.01,No,0.53,Yes,0.97,Yes,0.78,Yes,20,50.0,Yes
165,"seq_epochs_()_num_169",1.0,Yes,0.5,No,1.0,Yes,1.0,Yes,0.94,Yes,20,50.0,Yes
166,"seq_epochs_()_num_170",0.11,No,0.19,No,0.16,No,0.36,No,0.95,Yes,20,50.0,No
167,"seq_epochs_()_num_171",0.98,Yes,0.06,No,0.7,Yes,0.99,Yes,0.86,Yes,20,50.0,Yes
168,"seq_epochs_()_num_172",0.67,Yes,0.35,No,0.57,Yes,0.41,No,0.95,Yes,20,50.0,Yes
169,"seq_epochs_()_num_174",0.44,No,0.1,No,0.21,No,0.85,Yes,0.54,Yes,20,50.0,No
170,"seq_epochs_()_num_175",0.12,No,0.11,No,0.75,Yes,0.85,Yes,0.98,Yes,20,50.0,No
171,"seq_epochs_()_num_176",0.06,No,0.14,No,0.72,Yes,0.77,Yes,0.93,Yes,20,50.0,No
172,"seq_epochs_()_num_177",1.0,Yes,0.77,Yes,0.99,Yes,0.99,Yes,0.84,Yes,20,50.0,Yes
173,"seq_epochs_()_num_178",0.67,Yes,0.32,No,0.51,Yes,0.4,No,0.77,Yes,20,50.0,Yes
174,"seq_epochs_()_num_179",1.0,Yes,0.51,Yes,1.0,Yes,1.0,Yes,0.95,Yes,20,50.0,Yes
175,"seq_epochs_()_num_180",1.0,Yes,0.95,Yes,1.0,Yes,0.99,Yes,0.04,No,20,50.0,Yes
176,"seq_epochs_()_num_181",0.96,Yes,0.53,Yes,0.92,Yes,0.99,Yes,0.89,Yes,20,50.0,No
177,"seq_epochs_()_num_182",0.17,No,0.73,Yes,0.97,Yes,0.45,No,0.73,Yes,20,50.0,No
178,"seq_epochs_()_num_183",0.16,No,0.05,No,0.13,No,0.31,No,0.94,Yes,20,50.0,No
179,"seq_epochs_()_num_184",1.0,Yes,1.0,Yes,1.0,Yes,0.98,Yes,0.94,Yes,20,50.0,Yes
180,"seq_epochs_()_num_185",0.97,Yes,0.01,No,0.67,Yes,0.95,Yes,0.42,No,20,50.0,No
181,"seq_epochs_()_num_186",0.12,No,0.06,No,0.19,No,0.65,Yes,0.94,Yes,20,50.0,No
182,"seq_epochs_()_num_187",0.19,No,0.04,No,0.19,No,0.97,Yes,0.89,Yes,20,50.0,No
183,"seq_epochs_()_num_188",0.95,Yes,0.95,Yes,0.99,Yes,1.0,Yes,0.59,Yes,20,50.0,Yes
184,"seq_epochs_()_num_189",0.97,Yes,0.73,Yes,1.0,Yes,0.98,Yes,0.59,Yes,20,50.0,Yes
185,"seq_epochs_()_num_190",0.87,Yes,0.34,No,1.0,Yes,0.98,Yes,0.35,No,20,50.0,No
186,"seq_epochs_()_num_191",0.11,No,0.01,No,0.19,No,0.24,No,0.9,Yes,20,50.0,No
187,"seq_epochs_()_num_192",0.09,No,0.03,No,0.35,No,0.47,No,0.87,Yes,20,50.0,No
188,"seq_epochs_()_num_193",0.12,No,0.27,No,0.65,Yes,0.94,Yes,0.85,Yes,20,50.0,Yes
189,"seq_epochs_()_num_194",0.98,Yes,0.53,Yes,0.99,Yes,0.99,Yes,0.21,No,20,50.0,No
190,"seq_epochs_()_num_195",0.24,No,0.91,Yes,0.99,Yes,0.29,No,0.94,Yes,20,50.0,No
191,"seq_epochs_()_num_196",1.0,Yes,0.98,Yes,1.0,Yes,0.99,Yes,0.94,Yes,20,50.0,Yes
192,"seq_epochs_()_num_197",0.12,No,0.1,No,0.93,Yes,0.82,Yes,0.7,Yes,20,50.0,No
193,"seq_epochs_()_num_198",1.0,Yes,0.52,Yes,1.0,Yes,0.96,Yes,0.92,Yes,20,50.0,Yes
194,"seq_epochs_()_num_199",0.07,No,0.02,No,0.79,Yes,0.44,No,0.97,Yes,20,50.0,No
195,"seq_epochs_()_num_200",1.0,Yes,0.98,Yes,1.0,Yes,1.0,Yes,0.77,Yes,20,50.0,Yes
196,"seq_epochs_()_num_201",0.06,No,0.0,No,0.02,No,0.95,Yes,0.94,Yes,20,50.0,No
197,"seq_epochs_()_num_202",0.29,No,0.32,No,0.84,Yes,0.21,No,0.35,No,20,50.0,No
198,"seq_epochs_()_num_203",0.89,Yes,0.07,No,0.38,No,0.59,Yes,0.98,Yes,20,50.0,No
199,"seq_epochs_()_num_204",0.99,Yes,0.33,No,0.82,Yes,0.97,Yes,0.78,Yes,20,50.0,No
200,"seq_epochs_()_num_205",0.24,No,0.33,No,0.64,Yes,0.98,Yes,1.0,Yes,20,50.0,No
201,"seq_epochs_()_num_206",0.06,No,0.17,No,0.04,No,0.7,Yes,0.42,No,20,50.0,No
202,"seq_epochs_()_num_207",1.0,Yes,0.91,Yes,1.0,Yes,1.0,Yes,0.98,Yes,20,50.0,Yes
203,"seq_epochs_()_num_208",0.76,Yes,0.01,No,0.58,Yes,0.67,Yes,0.97,Yes,20,50.0,Yes
204,"seq_epochs_()_num_209",0.97,Yes,0.98,Yes,1.0,Yes,1.0,Yes,0.97,Yes,20,50.0,Yes
205,"seq_epochs_()_num_210",0.1,No,0.02,No,0.01,No,0.48,No,0.98,Yes,20,50.0,Yes
206,"seq_epochs_()_num_211",1.0,Yes,0.67,Yes,1.0,Yes,1.0,Yes,0.56,Yes,20,50.0,Yes
207,"seq_epochs_()_num_212",0.14,No,0.18,No,0.35,No,0.52,Yes,0.96,Yes,20,50.0,No
208,"seq_epochs_()_num_213",1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,0.39,No,20,50.0,Yes
209,"seq_epochs_()_num_214",0.18,No,0.01,No,0.28,No,0.53,Yes,0.97,Yes,20,50.0,Yes
210,"seq_epochs_()_num_215",0.42,No,0.03,No,0.18,No,0.99,Yes,0.56,Yes,20,50.0,No
211,"seq_epochs_()_num_216",0.9,Yes,0.15,No,0.84,Yes,0.51,Yes,0.55,Yes,20,50.0,Yes
212,"seq_epochs_()_num_217",0.76,Yes,0.01,No,0.2,No,0.98,Yes,0.37,No,20,50.0,Yes
213,"seq_epochs_()_num_218",0.97,Yes,0.74,Yes,0.66,Yes,0.97,Yes,0.27,No,20,50.0,No
214,"seq_epochs_()_num_219",0.99,Yes,0.59,Yes,1.0,Yes,1.0,Yes,0.99,Yes,20,50.0,Yes
215,"seq_epochs_()_num_220",0.55,Yes,0.28,No,0.9,Yes,0.98,Yes,0.99,Yes,20,50.0,Yes
216,"seq_epochs_()_num_221",0.93,Yes,0.48,No,0.97,Yes,1.0,Yes,0.93,Yes,20,50.0,Yes
217,"seq_epochs_()_num_222",0.63,Yes,0.07,No,0.81,Yes,0.96,Yes,0.77,Yes,20,50.0,No
218,"seq_epochs_()_num_223",0.61,Yes,0.55,Yes,0.87,Yes,0.95,Yes,0.97,Yes,20,50.0,Yes
219,"seq_epochs_()_num_224",1.0,Yes,0.55,Yes,1.0,Yes,1.0,Yes,0.88,Yes,20,50.0,Yes
220,"seq_epochs_()_num_225",0.68,Yes,0.05,No,0.81,Yes,0.99,Yes,0.89,Yes,20,50.0,Yes
221,"seq_epochs_()_num_226",0.29,No,0.13,No,0.17,No,0.48,No,1.0,Yes,20,50.0,No
222,"seq_epochs_()_num_227",1.0,Yes,0.98,Yes,1.0,Yes,0.96,Yes,0.9,Yes,20,50.0,Yes
223,"seq_epochs_()_num_228",1.0,Yes,0.99,Yes,1.0,Yes,1.0,Yes,0.96,Yes,20,50.0,Yes
